Date,Open,High,Low,Close,Adj Close,Volume,Code,SMA,EMA,SMMA,MOMENTUM,BBAND_UPPER,BBAND_LOWER,MACD,MACD_SIGNAL,RSI,STOCH,STOCHAS_SIGNAL,PSARBULL,PSARBEAR
2018-03-16,1688.0,1696.5,1678.5,1625.9999548445696,1684.0,7611200,6752,1652.05,1665.5863988117542,1654.523415838237,103.91854365936439,1723.0196413968672,1581.0803586031327,-5.558376813973155,-1.6693585235449164,57.58210653318291,82.50377073906485,83.15736551030669,1625.9999548445696,
2018-03-19,1676.0,1679.0,1644.0,1634.4599602632213,1648.5,6788200,6752,1656.3,1662.4796692510447,1653.918267334996,102.64632627646326,1720.4968846596153,1592.1031153403846,-3.8199776112380732,-2.1333823054888197,49.27771351972783,70.75757575757575,79.39279674573793,1634.4599602632213,
2018-03-20,1627.5,1648.0,1612.5,1696.5,1647.0,7968100,6752,1658.6,1659.66510121418,1653.2235404237683,101.41625615763547,1719.5701566342088,1597.629843365791,-2.4564567006295874,-2.5660725881974082,48.95643791774855,59.84374999999999,71.03503216554687,,1696.5
2018-03-22,1654.0,1665.5,1629.0,1648.0,1645.0,8043500,6752,1662.0,1656.9986550581923,1652.3980850612943,102.11049037864682,1715.28039038896,1608.71960961104,-1.3655859424231949,-2.9514451203332204,48.50237749931056,49.193548387096776,59.93162471489084,,1648.0
2018-03-23,1600.0,1615.0,1583.0,1647.29,1593.5,14425700,6752,1660.2,1645.453217903809,1646.4882932328655,98.88302823456408,1720.8847592069044,1599.5152407930957,1.7909126629917864,-2.9086217767068216,38.57977777085387,35.13513513513514,48.057477840743964,,1647.29
2018-03-26,1573.5,1579.0,1549.5,1615.0,1570.5,10128600,6752,1653.75,1631.8251407342862,1638.8662681610308,96.05504587155963,1734.2524844337113,1573.2475155662887,4.933794783151598,-2.231447700207708,35.123812384417676,22.299168975069254,35.54261749910038,,1615.0
2018-03-27,1602.5,1653.0,1600.0,1549.5,1649.5,12325600,6752,1650.75,1635.0387938341091,1639.9325618459711,98.2137540934802,1729.4052604725198,1572.0947395274802,3.2644000006669103,-1.4866596560424972,51.27055901010027,32.26993865030675,29.901414253503713,1549.5,
2018-03-28,1583.5,1587.5,1549.0,1653.0,1565.5,18425900,6752,1638.1,1622.3952405319526,1632.4709124366236,92.52364066193853,1726.2643919051213,1549.9356080948785,5.909918664475754,-0.30625760650041733,39.89943627395026,31.14382785956965,28.570978494981887,,1653.0
2018-03-29,1552.0,1554.0,1479.0,1587.5,1503.5,21888500,6752,1619.6,1600.777733483657,1619.5451449741163,89.04352976014214,1732.0044483105528,1507.195551689447,10.379924084178128,1.4531725696889073,33.91967245404847,27.5390625,30.317609669958802,,1587.5
2018-03-30,1503.5,1537.0,1502.0,1554.0,1521.0,11471400,6752,1602.8,1586.272586400747,1609.6709148174878,90.05328596802842,1718.8518849480681,1486.7481150519318,12.278920362561848,3.435094478192797,36.798880740162666,14.24892703862661,24.310605799398758,,1554.0
2018-04-02,1520.0,1527.0,1509.0,1537.0,1514.0,7189700,6752,1585.8,1573.1320385922934,1600.0866002236962,89.90498812351544,1699.0644692743472,1472.5355307256527,13.509665529150197,5.360610382680382,36.12092026157521,15.555555555555555,19.11451503139406,,1537.0
2018-04-03,1494.0,1499.0,1482.0,1527.0,1494.5,9883900,6752,1570.4,1558.835235266372,1589.5108359196813,90.65817409766454,1687.1988013637103,1453.6011986362898,14.827037038870003,7.280998575958114,34.2290726296749,14.17624521072797,14.660242601636716,,1527.0
2018-04-04,1524.0,1543.5,1522.5,1479.0,1529.5,11524600,6752,1558.65,1553.5015350544516,1583.501004547323,92.86581663630844,1665.4760735962873,1451.823926403713,13.647397764535526,8.949107876731306,40.27548922572438,15.478927203065135,15.070242656449556,1479.0,
2018-04-05,1528.5,1529.0,1496.0,1480.29,1523.0,13180300,6752,1546.45,1547.9557834815291,1577.4429679403936,92.58358662613982,1637.7861374265374,1455.1138625734627,12.728941855407811,10.16444445366642,39.548341956519145,16.85823754789272,15.50446998722861,1480.29,
2018-04-06,1530.0,1539.0,1525.5,1481.5542,1528.0,6951800,6752,1539.9,1544.3274496160327,1572.4928348480698,95.88955130216505,1626.0473156865569,1453.7526843134433,11.484818543975507,10.892335982646854,40.43914927494569,22.598425196850393,18.311863315936083,1481.5542,
2018-04-09,1525.5,1545.5,1518.5,1482.793116,1541.5,5452500,6752,1537.0,1543.8133667552356,1569.3902591686694,98.15345431391277,1620.7508208914949,1453.2491791085051,9.666233304264097,11.603650794157652,42.88631936304593,25.74503311258278,21.733898619108633,1482.793116,
